ObjectID,GlobalID,CreationDate,,Creator,EditDate,Editor,user_id,Wer bist du,type_id,Was hast du gemacht,Was für Sport,Wann hast du das gemacht,,Unbenannte Frage 9,Notizen,x,y,,,
11,faac7aa5-d096-4b21-82b2-ffd3e50e3544,12.06.2019 14:29,12.06.2019,,06.12.2019 14:29,,4,meike,2,sport,joggen,11.06.2019 00:00,06.11.2019,,,7.53692,47.13384,,,"INSERT INTO activities SET `user_id`=4, `type_id`=2, `date`='2019-11-6', `sum`=1;"
12,54f42353-5028-4e5a-8701-4187dd6c0094,12.06.2019 14:31,12.06.2019,Finklenburg,06.12.2019 14:31,Finklenburg,2,jan,2,sport,crossfit,11.06.2019 00:00,06.11.2019,,,7.47514,46.97448,,,"INSERT INTO activities SET `user_id`=2, `type_id`=2, `date`='2019-11-6', `sum`=1;"
13,f8aaca77-8f8b-4f28-8b8b-51b12583997e,12.06.2019 14:59,12.06.2019,Finklenburg,06.12.2019 14:59,Finklenburg,2,jan,1,bier,,10.06.2019 00:00,06.10.2019,,Test ,7.472213554,46.97047407,,,"INSERT INTO activities SET `user_id`=2, `type_id`=1, `date`='2019-10-6', `sum`=1;"
14,39471f2d-96f1-47d3-8113-98b6483fd83e,12.06.2019 19:57,12.06.2019,,06.12.2019 19:57,,5,bernhard,2,sport,,11.06.2019 00:00,06.11.2019,,Sommertraining  Flames,7.23222,46.60289,,,"INSERT INTO activities SET `user_id`=5, `type_id`=2, `date`='2019-11-6', `sum`=1;"
15,6c5189e1-5cc6-4d3b-8b32-b637d1dd434c,13.06.2019,13.06.2019,,6/13/2019 5:33:37 PM,,1,nora,2,sport,yoga,12.06.2019 00:00,06.12.2019,,,7.63165,47.05534,,,"INSERT INTO activities SET `user_id`=1, `type_id`=2, `date`='2019-12-6', `sum`=1;"
16,fbaddef1-6769-4f94-8592-c1024c9c13cf,13.06.2019,13.06.2019,,6/13/2019 5:34:17 PM,,4,meike,2,sport,yoga,13.06.2019,13.06.2019,,,7.63075,47.05571,,,"INSERT INTO activities SET `user_id`=4, `type_id`=2, `date`='2019-6-13', `sum`=1;"
17,7b044364-cc4d-47ff-8894-0c15c376ce4b,13.06.2019,13.06.2019,,6/13/2019 6:49:10 PM,,3,michele,1,bier,,13.06.2019,13.06.2019,,Bier zum grill,7.23222,46.60289,,,"INSERT INTO activities SET `user_id`=3, `type_id`=1, `date`='2019-6-13', `sum`=1;"
18,ac21918e-7b84-4c15-8bae-1e64ade0fae3,13.06.2019,13.06.2019,,6/13/2019 6:51:03 PM,,3,michele,1,bier,,12.06.2019 00:00,06.12.2019,,Geburtstag wein,7.43106,46.9332,,,"INSERT INTO activities SET `user_id`=3, `type_id`=1, `date`='2019-12-6', `sum`=1;"
19,8ebd8b5c-13a4-4f71-8e1d-e6d4d0678e9a,13.06.2019,13.06.2019,,6/13/2019 6:52:25 PM,,3,michele,1,bier,,10.06.2019 00:00,06.10.2019,,Ferienabschlussbier,-7.65167,37.12363,,,"INSERT INTO activities SET `user_id`=3, `type_id`=1, `date`='2019-10-6', `sum`=1;"
20,21218af5-5aa3-4d4d-8dd2-a130096e2315,14.06.2019,14.06.2019,,6/14/2019 4:38:38 AM,,5,bernhard,2,sport,,12.06.2019 00:00,06.12.2019,,Schwimmen,7.23222,46.60289,,,"INSERT INTO activities SET `user_id`=5, `type_id`=2, `date`='2019-12-6', `sum`=1;"
